Month,3rd,15th,50th,85th,97th
168,146.7,152.6,159.8,167.0,172.8
169,146.9,152.8,160.0,167.2,173.0
170,147.2,153.0,160.2,167.4,173.2
171,147.3,153.2,160.4,167.6,173.4
172,147.5,153.4,160.6,167.7,173.6
173,147.7,153.6,160.7,167.9,173.8
174,147.9,153.7,160.9,168.1,173.9
175,148.0,153.9,161.0,168.2,174.0
176,148.2,154.0,161.2,168.3,174.2
177,148.3,154.2,161.3,168.5,174.3
178,148.5,154.3,161.4,168.6,174.4
179,148.6,154.4,161.6,168.7,174.5
180,148.7,154.5,161.7,168.8,174.6
181,148.8,154.6,161.8,168.9,174.7
182,149.0,154.8,161.9,169.0,174.8
183,149.1,154.8,162.0,169.1,174.9
184,149.2,154.9,162.0,169.1,174.9
185,149.2,155.0,162.1,169.2,175.0
186,149.3,155.1,162.2,169.3,175.0
187,149.4,155.2,162.3,169.3,175.1
188,149.5,155.2,162.3,169.4,175.1
189,149.6,155.3,162.4,169.4,175.2
190,149.6,155.4,162.4,169.5,175.2
191,149.7,155.4,162.5,169.5,175.3
192,149.8,155.5,162.5,169.6,175.3
193,149.8,155.5,162.6,169.6,175.3
194,149.9,155.6,162.6,169.6,175.3
195,149.9,155.6,162.6,169.6,175.3
196,150.0,155.7,162.7,169.7,175.4
197,150.0,155.7,162.7,169.7,175.4
198,150.0,155.7,162.7,169.7,175.4
199,150.1,155.8,162.7,169.7,175.4
200,150.1,155.8,162.8,169.7,175.4
201,150.2,155.8,162.8,169.8,175.4
202,150.2,155.9,162.8,169.8,175.4
203,150.2,155.9,162.8,169.8,175.4
204,150.3,155.9,162.9,169.8,175.4
205,150.3,155.9,162.9,169.8,175.4
206,150.3,156.0,162.9,169.8,175.5
207,150.4,156.0,162.9,169.8,175.5
208,150.4,156.0,162.9,169.8,175.5
209,150.4,156.1,162.9,169.8,175.5
210,150.5,156.1,163.0,169.9,175.5
211,150.5,156.1,163.0,169.9,175.5
212,150.5,156.1,163.0,169.9,175.5
213,150.5,156.1,163.0,169.9,175.5
214,150.6,156.2,163.0,169.9,175.5
215,150.6,156.2,163.0,169.9,175.5
216,150.6,156.2,163.1,169.9,175.5
